Date,DiverName,SiteCode,TimeStart,Time End,Depth,SurveyArea,SpeciesCode,UK,DS,BB,RB,YB,TLD,WP,WS,P,PB,BL,TotalDiseased,TotalHealthy,Notes
12/7/17,Joshua Voss,SEFL10,11:24,11:43,17,1200,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL10,11:24,11:43,17,1200,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,34,Site near CREMP station with temp logger
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,"Many dead, unidentified colonies > 40"
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL11,11:59,12:19,49,1300,EFAST,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL12,12:56,13:16,46,1600,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,15,2 MCAV recruits
12/7/17,Joshua Voss,SEFL12,12:56,13:16,46,1600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/7/17,Joshua Voss,SEFL12,12:56,13:16,46,1600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,7,
12/7/17,Joshua Voss,SEFL12,12:56,13:16,46,1600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/7/17,Joshua Voss,SEFL12,12:56,13:16,46,1600,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,1 CNAT recruit
12/7/17,Joshua Voss,SEFL12,12:56,13:16,46,1600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,9,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,13,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,PAST,0,0,0,0,0,0,0,0,0,0,0,0,8,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,SSID,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,DLAB,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,SINT,0,0,0,0,0,0,0,0,0,0,0,0,5,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,MLAM,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,EFAST,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,MFER,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/12/17,Ryan Eckert,SEFL13,9:41,10:01,57,500,SCOL,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL14,10:39,11:00,56,400,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,13,"Dead margin, no active sloughing"
12/12/17,Ryan Eckert,SEFL14,10:39,11:00,56,400,SINT,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/12/17,Ryan Eckert,SEFL14,10:39,11:00,56,400,FFRA,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL14,10:39,11:00,56,400,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL14,10:39,11:00,56,400,PAST,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL14,10:39,11:00,56,400,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,39,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,28,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,MLAM,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,HCUC,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,PAST,0,0,0,0,0,0,0,0,0,0,0,0,20,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,SINT,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,MPHA,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL15,11:50,12:19,74,400,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,45,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,SINT,0,0,0,0,0,1,0,0,0,0,0,1,3,WB or tissue sloughing
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,MLAM,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,PAST,0,0,0,0,0,0,0,0,0,0,0,0,8,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,HCUC,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/12/17,Ryan Eckert,SEFL17,13:08,13:21,65,550,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL16,8:32,8:52,50,500,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,46,
1/10/18,Michael Studivan,SEFL16,8:32,8:52,50,500,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL16,8:32,8:52,50,500,PAST,0,0,0,0,0,0,0,0,0,0,0,0,18,
1/10/18,Michael Studivan,SEFL16,8:32,8:52,50,500,SSID,0,0,0,0,0,1,0,0,0,0,0,1,1,
1/10/18,Michael Studivan,SEFL18,9:22,9:42,47,800,MAUR,0,0,0,0,0,0,0,0,0,0,0,0,TMTC,formerly known as M. mirabilis
1/10/18,Michael Studivan,SEFL18,9:22,9:42,47,800,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,18,
1/10/18,Michael Studivan,SEFL18,9:22,9:42,47,800,SSID,0,0,0,0,0,0,0,0,0,0,0,0,4,
1/10/18,Michael Studivan,SEFL18,9:22,9:42,47,800,PAST,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL18,9:22,9:42,47,800,MALC,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,SINT,0,0,0,0,0,0,0,0,0,0,0,0,5,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,3,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,MCAV,0,0,0,0,0,3,0,0,0,0,0,3,17,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,9,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,MALI,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,EFAS,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL19,10:13,10:33,60,600,PCLI,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,PAST,0,0,0,0,0,0,0,0,0,0,0,0,24,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,33,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,SSID,0,0,0,0,0,0,0,0,0,0,0,0,8,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,PCLI,0,0,0,0,0,0,0,0,0,0,0,0,3,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,ISIN,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,UAGA,0,0,0,0,0,0,0,0,1,0,0,0,2,
1/10/18,Michael Studivan,SEFL20,11:09,11:29,50,700,EFAS,0,0,0,0,0,0,0,0,0,0,0,0,1,1 paling
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,SSID,0,0,0,0,0,1,0,0,0,0,0,1,5,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,42,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,UAGA,0,0,0,0,0,0,0,0,1,0,0,0,2,1 paling
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,PAST,0,0,0,0,0,0,0,0,0,0,0,0,6,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,EFAS,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,PCLI,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL21,12:03,12:23,52,700,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,MCAV,0,0,0,0,0,2,0,0,0,0,0,2,49,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,HCUC,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,PAST,0,0,0,0,0,0,0,0,0,0,0,0,29,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,SSID,0,0,0,0,0,0,0,0,0,0,0,0,5,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,4,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,MALI,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,SINT,0,0,0,0,0,0,0,0,0,0,0,0,3,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,
1/10/18,Michael Studivan,SEFL22,12:52,1:12,53,800,PCLI,0,0,0,0,0,0,0,0,0,0,0,0,1,
4/19/18,Joshua Voss,SEFL10,11:05,11:25,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,1,1,52,3 recruits
